Marca,Tema,Porcentaje_Normalizado
Xiaomi,Cámara,7.87
Xiaomi,Batería,19.03
Xiaomi,Precio,38.63
Xiaomi,Rendimiento,24.61
Xiaomi,Pantalla,9.87
Samsung,Cámara,20.62
Samsung,Batería,12.28
Samsung,Precio,17.01
Samsung,Rendimiento,31.13
Samsung,Pantalla,18.95
Apple,Cámara,15.91
Apple,Batería,15.0
Apple,Precio,35.68
Apple,Rendimiento,20.23
Apple,Pantalla,13.18
