Marca,Tema,Porcentaje_Normalizado
Xiaomi,Cámara,8.66
Xiaomi,Batería,39.37
Xiaomi,Precio,14.96
Xiaomi,Rendimiento,22.05
Xiaomi,Pantalla,14.96
Samsung,Cámara,13.47
Samsung,Batería,32.24
Samsung,Precio,13.88
Samsung,Rendimiento,24.9
Samsung,Pantalla,15.51
Apple,Cámara,8.93
Apple,Batería,41.07
Apple,Precio,25.0
Apple,Rendimiento,16.07
Apple,Pantalla,8.93
